"No","OldName","NewName","Status"
"1","01_Sakana_Fugu_Technical_Report_2606.21228.pdf","01 - Sakana Fugu Technical Report.pdf","Renamed"
"2","02_Are_We_Ready_For_An_Agent_Native_Memory_System_2606.24775.pdf","02 - Are We Ready For An Agent-Native Memory System.pdf","Renamed"
"3","03_Autodata_An_Agentic_Data_Scientist_to_Create_High_Quality_Synthetic_Data_2606.25996.pdf","03 - Autodata - An Agentic Data Scientist to Create High-Quality Synthetic Data.pdf","Renamed"
"4","04_Critique_of_Agent_Model_2606.23991.pdf","04 - Critique of Agent Model.pdf","Renamed"
"5","05_Agent_as_a_Router_Agentic_Model_Routing_for_Coding_Tasks_2606.22902.pdf","05 - Agent-as-a-Router - Agentic Model Routing for Coding Tasks.pdf","Renamed"
"6","06_A_Technical_Taxonomy_of_LLM_Agent_Communication_Protocols_2606.19135.pdf","06 - A Technical Taxonomy of LLM Agent Communication Protocols.pdf","Renamed"
"7","07_Human_like_Autonomy_Emerges_from_Self_Play_and_a_Pinch_of_Human_Data_2606.19370.pdf","07 - Human-like autonomy emerges from self-play and a pinch of human data.pdf","Renamed"
"8","08_Skill_MAS_Evolving_Meta_Skill_for_Automatic_Multi_Agent_Systems_2606.18837.pdf","08 - Skill-MAS - Evolving Meta-Skill for Automatic Multi-Agent Systems.pdf","Renamed"
"9","09_Reliability_without_Validity_2606.19544.pdf","09 - Reliability without Validity.pdf","Renamed"
"10","10_NatureBench_Can_Coding_Agents_Match_the_Published_SOTA_of_Nature_Family_Papers_2606.24530.pdf","10 - NatureBench - Can Coding Agents Match the Published SOTA of Nature Family Papers.pdf","Renamed"
"11","11_SpatialClaw_Rethinking_Action_Interface_for_Agentic_Spatial_Reasoning_2606.13673.pdf","11 - SpatialClaw - Rethinking Action Interface for Agentic Spatial Reasoning.pdf","Renamed"
"12","12_Compositional_Skill_Routing_for_LLM_Agents_2606.18051.pdf","12 - Compositional Skill Routing for LLM Agents - Decompose, Retrieve, and Compose.pdf","Renamed"
"13","13_PreAct_Computer_Using_Agents_that_Get_Faster_on_Repeated_Tasks_2606.17929.pdf","13 - PreAct - Computer-Using Agents that Get Faster on Repeated Tasks.pdf","Renamed"
"14","14_Can_LLM_Agents_Infer_World_Models_2606.16576.pdf","14 - Can LLM Agents Infer World Models Evidence from Agentic Automata Learning.pdf","Renamed"
"15","15_From_Trainee_to_Trainer_LLM_Designed_Training_Environment_2606.17682.pdf","15 - From Trainee to Trainer - LLM-Designed Training Environment.pdf","Renamed"
"16","16_OpenClaw_Skill_Collective_Skill_Tree_Search_for_Agentic_LLMs_2606.16774.pdf","16 - OpenClaw-Skill - Collective Skill Tree Search for Agentic LLMs.pdf","Renamed"
"17","17_Back_on_Track_Aligning_Rewards_and_States_for_Reasoning_in_Diffusion_LLMs_2606.08501.pdf","17 - Back on Track - Aligning Rewards and States for Reasoning in Diffusion Large Language Models.pdf","Renamed"
"18","18_AtomMem_Building_Simple_and_Effective_Memory_System_via_Atomic_Facts_2606.19847.pdf","18 - AtomMem - Building Simple and Effective Memory System for LLM Agents via Atomic Facts.pdf","Renamed"
"19","19_Beyond_Domains_Reusing_Web_Skills_via_Transferable_Interaction_Patterns_2606.17645.pdf","19 - Beyond Domains - Reusing Web Skills via Transferable Interaction Patterns.pdf","Renamed"
"20","20_The_Stanford_EDGAR_Filings_Dataset_2606.18192.pdf","20 - The Stanford EDGAR Filings Dataset.pdf","Renamed"
"21","21_MiniMax_Sparse_Attention_2606.13392.pdf","21 - MiniMax Sparse Attention.pdf","Renamed"
"22","22_Self_Harness_Harnesses_That_Improve_Themselves_2606.09498.pdf","22 - Self-Harness - Harnesses That Improve Themselves.pdf","Renamed"
"23","23_Agents_Last_Exam_2606.05405.pdf","23 - Agents' Last Exam.pdf","Renamed"
"24","24_How_AI_Agents_Reshape_Knowledge_Work_2606.07489.pdf","24 - How AI Agents Reshape Knowledge Work.pdf","Renamed"
"25","25_Agentopia_Long_Term_Life_Simulation_and_Learning_in_Agent_Societies_2606.07513.pdf","25 - Agentopia - Long-Term Life Simulation and Learning in Agent Societies.pdf","Renamed"
"26","26_On_the_Geometry_of_On_Policy_Distillation_2606.07082.pdf","26 - On the Geometry of On-Policy Distillation.pdf","Renamed"
"27","27_FlashMemory_DeepSeek_V4_Lookahead_Sparse_Attention_2606.09079.pdf","27 - FlashMemory-DeepSeek-V4 - Lightning Index Ultra-Long Context via Lookahead Sparse Attention.pdf","Renamed"
"28","28_Latent_Spatial_Memory_for_Video_World_Models_2606.09828.pdf","28 - Latent Spatial Memory for Video World Models.pdf","Renamed"
"29","29_The_Consistency_Illusion_2606.08457.pdf","29 - The Consistency Illusion.pdf","Renamed"
"30","30_Beyond_Scalar_Rewards_Score_Distributions_2606.09076.pdf","30 - Beyond Scalar Rewards by Internalizing Reasoning into Score Distributions.pdf","Renamed"
"31","31_Self_Revising_Discovery_Systems_for_Science_2606.01444.pdf","31 - Self-Revising Discovery Systems for Science - A Categorical Framework for Agentic Artificial Intelligence.pdf","Renamed"
"32","32_Harness_Updating_Is_Not_Harness_Benefit_Disentangling_Agent_Self_Evolution_2605.30621.pdf","32 - Harness Updating Is Not Harness Benefit - Disentangling Agent Self-Evolution.pdf","Renamed"
